company,game,score
Cross Roads Escape Games,The Asylum,5
Cross Roads Escape Games,The Fun House,0
Cross Roads Escape Games,The Hex Room,0
Mission Escape Games,Escape The Darkest Hour: Torture Chamber,0
Puzzlemazement,Doll House,3
The Cromwell Estate,The Den,5
Red Lantern Escape Rooms,Midnight on the Bayou,0
Sinister Pointe,FEAR... The Darkness,0
Sinister Pointe,The Event,0
Get the F Out,The Virus,0
Maze Rooms,The Dragon's Lair,0
Exit Strategy Games,Conspiracy Theory,0
Clue Avenue,Villain's Lair,0
The Prism Escape Rooms,Mystery Manor,0
Escapade Games,Zoe,0
Fox in a Box,Mr. Fox's Secret Study,0
Escape The Room,The Clock Tower,0
Brainy Actz,The Lost Jungle Safari,0
EscapeX,Casino Heist,4
EscapeX,Murder Manor,3
EscapeX Rooms,The Attic,4
Eskape Rooms,Professor White,3
Puzzle Workshop,Scarlet Starlet,3
Puzzle Workshop,Secrets of the Illuminati ,4
Square Room Escape,Super Mario Escape Room,0
Unlocked,The Return of the Magician,0
60out,Da Vinci's Secret,0
60out,Doctor Psycho,5
60out,Galaxy Quest,5
60out,Ghost Ship,0
60out,Grandma's Masterplan,0
60out,Jumanji: Welcome to the Jungle,0
60out,Red Alert,5
60out,The Krampus,5
60 OUT,Senator Payne,0
60out,The Pandorus Mission,3
60out,The Tiki Palace,5
Captured,Captured LA,0
Captured LA,The Starlet Killer,0
CAPTVT,The Spaceship,2
Enigma,Seance,2
Enigma,The Secret Temple,0
Escape Hotel,Agent,0
Escape Hotel,Daycare,0
Escape Hotel,Witchcraft,0
Escape Hotel,Zombie,0
Escape Room LA,The Cavern,2
Escape Room LA,The Detective,0
Evil Genius Escape Rooms,Chapter 1: Occam's Apartment,0
MagIQ Room,The Pharaoh's Legacy,0
MagIQ Room,The Pirate's Den,5
MagIQ Room,The Secrets of Wizardry,0
Maze Rooms,Demon Hunter,2
Maze Rooms,Jungle Game,1
Maze Rooms,Lunar Mission,0
Maze Rooms,Magic Kingdom,0
Maze Rooms,Pharaoh's Tomb,0
Maze Rooms,Secret Mission,0
Maze Rooms,World of Illusions,5
PanIQ Room,Insane Asylum,0
Quest Room,Bloody Elbow,0
Quest Room,Cannibal's Den,0
Quest Room,Red Giant,0
Roomescape Los Angeles,Cold War Bunker,0
Roomescape Los Angeles,Prison Break,0
Fox in a Box Los Angeles,Zodiac,5
Salvation Room,Noah's Ark,0
Salvation Room,The Inferno,0
Two Bit Circus Story Room,Cosmic Contagion,0
The Quest Factory,Clinic ,4
Think Tank Gallery,Trap House,0
60out,Titanic,0
60out,Wizard's Workshop,5
Steal and Escape,Mysterious Stranger,5
Steal and Escape,The Lost Expedition,6
Escape Chronicles,Smugglers Tunnels,5
Boss-Play Escape Rooms,The Chocolate Factory,0
Unity Escape Rooms,The Cabin,0
Beat The Room,221b Baker Street,0
Quandary Escape Rooms,The Dynaline Incident,0
Quandary Escape Rooms,The Locked In Dead,0
California State Escape,Space Sector,0
Enchambered,The Skull Witch,0
Enchambered,The Whispering Halls,0
Golden Puzzle Rooms,The Vampire's Study,0
3rd Day Escape,Harvest Motel,0
House of Hints,High School Detention,0
PanIQ Room,Creepy Cemetery,0
PanIQ Room San Diego,Voodoo Shop,0
The Entrapment,The Disappearance at Fogmore Manor,0
The Great Room Escape,Houdini's Hidden Workshop,0
The Great Room Escape,Forbidden Aztec Temple,0
The Great Room Escape,Zombie Lab,0
The Puzzalarium,The Floor is Lava,0
The Puzzalarium,The Parlour,0
The Unlockables,Sister's Secret,0
The Unlockables,The Escape,0
Quicksand Escape Games,Chinatown,0
Head Games SF,The Puppeteer's Workshop,0
Palace Escape Games,The Great Houdini Escape Room,5
Palace Games,The Roosevelt Escape Room,6
SCRAP Zelda,Defenders of the Triforce,0
X Room,Escape the Prison,0
X Room,The Curse of the Mummy,0
Omescape,Kingdom of Cats,3
Locked Adventures,Dystopia,0
Mighty Awesome Escape Rooms,The Office of Professor R.K. Alogee,0
Arcane Escape Rooms,The Hideout,0
Cyph3r Escape Experience,Starship Desolation,0
The Basement,The Boiler Room,0
The Basement,The Elevator Shaft,0
The Basement,The Study,0
Maze Rooms,Lord of Swords,0
Maze Rooms,Pirate Bay,0
Black Market Escape Rooms,Murder Co.,0
Trapped!,Down the Rabbit Hole,0
Trapped!,Lair of the Puzzlemaster,0
LA Dragon Studios,Knights of the Round Table,0
NorCal Escape Co.,Condemned 2,0
Themescape,The Stolen Relic,0
Rabbit Hole Recreation Services,Ruins Of The Mystic Temple,0
The Nat,Botanic Panic,0
Escape Kings,Ghost Hunters,0
Adventure Rooms,Remedy... 25 Years Later,0
Escape Room Era,The Overgrown,0
Escape Room Live,Friday the 13th,0
Escape Room Live,Ghostbusters!,5
Escape Room Live,Teenage Mutant Ninja Turtles,0
Escape Room Live,Titanic,0
International Spy Museum,Operation Spy,0
Axxiom Escape Rooms,Pirate's Cove,0
The Labyrinth Escape Rooms,Soldier Boy,0
Legends Escape Rooms,Dungeon VII,0
The Great Escape Lakeside,CLUE Escape,0
Escape Thrill,Diamond Heist,0
Escape Thrill,Skinned Alive,0
Escape Thrill,The Toy Room,0
Escape Thrill,Wild West,0
Tampa Bay Escape Room,Cabin in the Woods,5
Tampa Bay Escape Room,Music Producer,0
Escape Cocoa Beach,2325 Tremont Street,0
Escape Cocoa Beach,Jail Break,0
Escape Game Time,Hostage,0
Escape Game Time,Judge's Quarters,0
Escape Gametime,Space Station Crisis,0
Code To Escape,Haunted Superheroes,0
Code to Escape,The Mystery of Clarence Earl Gideon,0
Code to Escape,The Night out at the BAD GIRL,0
Code to Escape,"Thomas Edison, The Last Invention",0
Locked Inside,Egypt: Ammon's Passage,0
Locked Inside,Psycho Ward,0
Breakout,Do Not Disturb,0
Breakout Games,Hostage,2
Dare 2 Escape,The Archive,2
Dare 2 Escape,The Asylum,5
Dare 2 Escape,The Dig,4
Doldrick's Escape Room,Super Bomb Squad Commandos Awesome!,0
Lakeland Escape Room,The Asylum,0
Escape Room Extreme,The Pirate Ship,0
Make A Break Escape,Black Site,0
Make A Break Escape,Pirate Plunder,0
Escape Room Entertainment,Diamond Heist,0
Escape Room Entertainment,Miss Ellie's Sweet Shoppe,0
Escape Room Entertainment,The Undead,0
Escape Room Entertainment,Tidbit the Terrible Elf,0
PanIQ Room,Haunted Hospital,0
PanIQ Room,My Spy,0
PanIQ Room,Pirate's Den,0
New Smyrna Beach Escape Room,Safe Cracker,0
New Smyrna Beach Escape Room,Wardens Office,0
Gulf Coast Escape Room,Alice and the White Rabbit,0
American Escape Rooms,Cold War Crisis,3
American Escape Rooms,Mind-Boggling,2
American Escape Rooms,Zombie Apocalypse,3
America's Escape Game,Crisis at 1600,0
America's Escape Game,Pandemic,0
America's Escape Game,The Caretaker,2
America's Escape Game,The Lost Tomb of Monthu,0
Breakout Escape Rooms,Game of Espionage,0
Breakout,The Ringmaster's Den,0
Breakout Escape Rooms,Zombie Roadhouse,0
Digital Escape Rooms,The Sol Solution,5
Escape Key,Birthday Party Theme,0
Escape The Room,Dig,0
Escapology,Budapest Express,0
Escapology,TH3 C0D3,0
Get Out!,Escape Artist,0
Get Out!,Origins,0
Halloween Horror Nights,The Repository,0
Pale Night Productions,Escape Games,0
Pale Night Productions,Escape Games,0
Pale Night Productions,Escape Games,0
VEQTOR,Escape Castle,0
Lockbusters Escape Game,Pirate Adventure,5
Mindquest Escape Games,Cyber Crash,0
Mindquest Escape Games,Mad Scientist,0
MindQuest Escape Games,The Haunting: Secret of the Mansion,1
Peachstone Scream!,Christmas is Canceled,0
The Escape Company,Suburban Serial Killer,3
The Escape Effect,At Odds with the Gods,0
The Escape Game,Gold Rush,0
The Escape Game,Mission: Mars,0
The Escape Game,Prison Break,0
The Great Escape Room,Dr. Watson's Infirmary ,0
The Great Escape Room,The Gameroom,0
The Great Escape Room,Sherlock Holmes' Library,0
321 Escape,Hijacked at Sea!,0
321 Escape,The Heist,0
Escape Artists,Cat Burglar,0
Escape Artists,Secret Society,0
Escape Artists,The Rest Easy Motel,0
Escape Reality,Corporate Spy,5
Beach Escape Game,Lost treasure,0
Beach Escape Games,The Honky Tonk,0
Beach Escape Game,Where in the World?,0
Daytona Escape Room Experience,The Ransom,0
Key Quest,The Basement,0
Can You Escape?,Medieval Adventure,5
Can You Escape?,Escape from the Office,5
Escape Countdown,An Evening in Paris,0
Escape Countdown,Jail Break,0
Escape Countdown,Mad Hatter,0
Escape Quest,Riddle Room,0
Imagine Escape Games,reSEArch,5
Imagine Escape Games,The Alleyway,5
Rabbit Hole,Bermuda Triangle,0
The Room,Einstein Room,0
The Room,The Gallery,0
Time Trapped escape room,The Mobster's Speakeasy,0
Time Trapped,The Twisted Curse of Madame Antinori,0
Escape Goat,Camp Echo,0
Escape Goat,The Quest,0
It's A Trap!,A Pirate Tale: The Legendary Cea Sisters,0
It's A Trap,Apocalypse,0
It's A Trap,Imprisoned Creature,0
It's a Trap,Magic Mirror,0
It's A Trap,Patient Zero,0
It's A Trap!,Superhero: Save the City,0
Time To Escape,Escape From Alcatraz,0
EscapeSF,Escape From Alcatraz,0
Ultimate Escape Game,Submerged,0
Paranoia Quest,The Dig,0
Project: Escape,Artifact,0
Project Escape,Nautilus,0
Project Escape,Saw Competition Room,0
Amazing Escape,Virus,0
Escape Woods,The Dig,0
Legendary Escape Rooms,Traumatized,0
Escape Hour Room,High Noon,0
Brain Drain Escape Room Chicago,AI Rebellion,0
PanicIQ Escape Room Chicago,The Prison,0
Armadillo Escape Room Adventures,Time Travel Trouble,0
Team Vs Time,Lost Book Of Spells,0
Team vs Time,Save the Queen,0
Escape Factor,Bonus Fun Time Game Show Challenge,0
60 to Escape,Hidden Temple,0
60 to Escape,Mystery Manor,0
Massacre,Kidnapped,0
RiddleBox Escape Room,Old Tavern,0
Enigma HQ,The Lazarus Crystal,0
Psych Escape,Sherlock Holmes,0
Escape In Time,Sherlock Holmes vs. Illuminati,0
13th Gate Escape,Cutthroat Cavern,0
13th Gate,The Collector,0
13th Gate Escape,Tomb of Anubis,0
Escape Room Louisiana,Grandma's House,0
Clue Carré,The Game Museum,0
Clue Carré,French Quarter House of Curiosities,0
Escape My Room,Inventor's Attic,0
Escape My Room,Smuggler's Den,0
Mystere Escape Rooms,Serial Killer's Lair,0
RISE Escape Rooms,Hijacked,0
Mind Thrill Escape Rooms,Fort Escape,0
Baltimaze,Ex Machina,0
Room Escape Adventures,Trapped In A Room With A Zombie,0
Boxaroo,Conundrum Museum,0
5 Wits,"20,000 Leagues",0
5 Wits,Espionage,0
Excape Games,Murder! Mystery!,4
Breakout KC,The River Quay Casino,0
St. Louis Escape,Curse of the Mummy,0
St. Louis Escape,Haunted Hotel,0
Kersey Valley Escape,Deadwood,3
Black Out,South End Psycho,0
Codescape,Shipwrecked,0
Codescape,The Experiment,0
Codescape,The Residents,0
Escape Kings,Ghost Hunters,0
Escape Kings,Kings Quest,0
Exit Strategy,Murder Mystery,2
The Door,The Pharaoh's Tomb,0
Escape Artist,Yin and Yang,0
Xscape,Curse of the Mummy,0
Masterpiece Escapes,Deadwood Saloon,0
Cipher Escape,The Brewery Escape,0
Tic Toc Escapes,Night at the Mausoleum,0
The Escape Room,The Cure Room: Part III of the Zombie Apocalypse Trilogy,0
The Escape Room,The Zombie Room: Part I of the Zombie Apocalypse Trilogy,0
Amazing Escape Room,Ehrlich's Manor,0
Mad Escape Room Challenge,Bank Heist,0
Mad Escape Room Challenge,Mayan Tomb,0
Exit 4 Private Escape Rooms,T-Rex Lockdown,0
Amazing Escape Room,The Apartment,0
Amazing Escape Room,Freehold,0
Exit 4 Private Escape Rooms,Cabin of the Jersey Devil,0
Exit 4 Private Escape Rooms,The Upside Down,0
Venture Escape Room,Galahad,0
Venture Escape Room,Midnight City,0
Booby Trap Escape Rooms,Pharaoh's Revenge ,0
Solve It Sherlock,Pirates Of The Golden Skull,0
Solve It Sherlock,The Magician's Secret,0
Solve It Sherlock,Quarantine,0
Countdown Live Escape Games,Atelophobia,0
Lockdown,Wrongfully Accused,0
ESCAPEability,Pompeii,0
Live Game Escape,White Lie,0
Lock Down,Mob Boss,0
Lost Games,Playtime,0
Lost Games,Chapter One: The Doctor's Secret,0
Number 1 Escape Room,Red Riding Hood,0
Number 1 Escape Room,The Cabin,0
Rush to Escape,Prison Break,0
Trapped!,One Eyed Jack,0
Xterious Escape,The Curse of Mapuche,0
Claustrophobia,The Dungeon,0
Brooklyn Escape Room,Shelter R,0
Komnata Quest,7 Sinful Pleasures,0
Komnata Quest,Chinese Jewelry Box,0
Komnata Quest,Doctor Frankenstein,0
Komnata Quest,The Impossible Murder Mystery,0
Komnata Quest,Mousetrap,0
Komnata Quest,The Robbery that Changed the World,0
Komnata Quest,Suicide Hotel,0
No Escape,Checkmate,0
I Survived The Room,Sanatorium,0
I Survived the Room,Club Escape,3
Komnata Quest,St. Angelo's Castle,2
Escape Zone Long Island,Trouble in Paradise,0
Clue Chase,Egyptian Tomb,3
Clue Chase,The Lost Spy,0
Escape Entertainment,Manhattan Mayhem,0
Escape Entertainment,Prohibition Pandemonium,0
Escape Entertainment,Alien Attack,0
Escape Games NYC,John Doe,2
Escape Games NYC,Outer Space,0
Exit Escape Room NYC,Operation Dive,0
Komnata Quest,Maze of Hakaina,0
Mission Escape Games,Escape the Darkest Hour Part II: Slaughterhouse,0
Mission Escape Games,Escape the Hydeout,0
Omescape,The Penitentiary ,2
5 Wits,Drago's Castle,6
5 Wits,Deep Space,0
Portland Escape Rooms,Madame Neptune's Voodoo Curse,0
Escapism: Portland,Jungle Ransom,0
Labyrinth Escape Games,Hyde,0
Panic in the Woods,The Haunted Mansion,0
Expedition Escape,Bank Heist,0
Expedition Escape,Quest for the Throne,0
Gotham Escape Room,Game of Stones,0
Liberty Escape Rooms,Revolution,0
Bates Motel Escape Rooms,The Tomb,0
Encrypted Escape,Biker's Revenge,0
Chris + Creative,Christmas is Canceled,0
Chris + Creative,The Legend of Atlantis,0
Myrtle Beach Room Escape,The Movie Theater Escape,0
Escape Eight,The Secret Training Facility,0
Review: Escape Experience Chattanooga,The Bunker,0
Chris + Creative,Big Maw Bertha's Fussin' &amp; A' Feudin' Moonshine Hill Hootenanny,0
Headcase Escape Adventures,Aztec Temple,0
Headcase Escape Adventures,Merlin's Secret Chamber,0
The Captured,Scarlett's Room,0
The Captured,The Cellar,0
Locked Escape Game Murfreesboro,Movie Theatre,0
Kryptology Escape Rooms,The Orphanage,0
Trapped Escape Game,Haunted Cabin,0
The Perfect Escape,O'Bannion's Safe,0
The Perfect Escape,The Pharaoh's Tomb,0
Lockout Austin,WW3: The Conspiracy Theory,0
Maze Rooms,Pharaoh's Tomb,0
Mindspark Escape Games,The Terminal,0
Austin Panic Room,Cabin Fever,0
Escape Pro,Gods of Egypt,0
A Room with a Clue,The Doll House,0
Escape The Room,The Apartment,0
Escape Xperience,Library of Secrets,0
Countdown2Escape,Return to Cabin Fever,0
Escape Reality,The Iron Kingdom,0
Exit Strategy,The Ruins,0
The Grapevine Escape,Going to the Chapel ,0
Escape Rooms HQ,Corporation of D.O.O.M.,0
Escape Rooms HQ,Crime Scene Challenge Rooms,0
North Texas Escape Rooms,Aunt Carolynn's Closet,0
PanIQ Room,Chainsaw Massacre ,0
Strange Bird Immersive,The Man From Beyond,0
The Escape Game,Playground,0
Escape Expert,Dead End,0
Extreme Escape,The Lost Tomb,0
Red Door Escape Room,Once Upon a Time,0
Escape Room RVA, Lost Jewel of the James,0
Escape Room RVA,The Cursed Crypt,0
Room Escape USA,Dr. Ensaine,0
Warehouse 29,Dark Raven Museum,0
Busch Gardens Howl-O-Scream,Case of Mr. Carver,0
Busch Gardens Howl-O-Scream,Case of the Haunted Hotel,0
Operation Escape,The Other Side,0
Esc4pe,The Infiltrator,0
Epic Team Adventures,The Sparrow Files: The Peking Dragon,0
Locurio,The Vanishing Act,0
Puzzle Break,The Eventide Departure,0
NW Escape Experience,The Kill Room,0
Booby Trap Escape Rooms,Pharaoh's Revenge ,0
Spin Master Games,Escape Room: The Game,0
Spin Master Games,Escape Room: The Game,0
Spin Master Games,Escape Room: The Game,0
Spin Master Games,Escape Room: The Game,0
ThinkFun Escape The Room,Mystery at the Stargazer's Manor,0
